Category,Feature,Affects private chats?,Facebook,Instagram,LinkedIn,Pinterest,Snapchat,Telegram,TikTok,WeChat,WhatsApp,X
Content moderation,Mute words,,1,1,0,1,0,0,1,0,0,1
Content moderation,Hide/mute post/accounts/chats/stories,Yes,1,1,1,1,1,1,1,1,1,1
Content moderation,Remove someone's comment,,1,1,1,1,1,Not applicable,1,1,Not applicable,0
Content moderation,Remove someone's messages from group,Yes,0,0,0,0,0,1,0,0,1,0
Content moderation,Control which member's profile photos to see,,0,0,1,0,0,0,0,0,0,0
Discoverability,Limit discoverability in quick add,,0,0,0,0,1,1,0,1,Not applicable,0
Discoverability,Limit discoverability using email,,1,Not applicable,1,Not applicable,1,Not applicable,1,Not applicable,Not applicable,1
Discoverability,Limit discoverability using phone number,,1,Not applicable,1,Not applicable,1,1,1,1,0,1
Discoverability,Limit discoverability using QR code,,0,0,0,0,0,0,0,1,1,Not applicable
Discoverability,Limit discoverability using username,,0,0,0,0,0,0,0,1,Not applicable,0
Discoverability,Limit who can attach your account to forwarded messages or reposts,,0,Not applicable,0,Not applicable,Not applicable,1,Not applicable,Not applicable,Not applicable,0
Distribution/sharing,Limit others from reposting your posts/stories,,1,1,0,0,0,1,1,Not applicable,Not applicable,0
Distribution/sharing,Limit others from sharing your posts/stories in messages,,0,1,0,0,0,1,0,Not applicable,Not applicable,0
Distribution/sharing,Limit others from sharing your posts/stories outside the app,,0,0,0,0,0,1,0,Not applicable,Not applicable,0
Distribution/sharing,Limit who can forward messages,Yes,0,1,0,Not applicable,0,1,0,0,0,Not applicable
Distribution/sharing,Protect videos from posts and chats,Yes,1,1,1,1,0,1,1,0,0,1
Distribution/sharing,Prevent chats from being screenshoted,Yes,0,0,0,0,0,1,0,0,1,0
Interaction,Limit access to owned group and permissions of members,,1,1,1,1,0,1,0,1,1,0
Interaction,Limit specific users and restrict them,,1,1,0,0,0,Not applicable,0,Not applicable,Not applicable,0
Interaction,Block account,,1,1,1,1,1,1,1,1,1,1
Interaction,Limit who adds you to groups,,0,1,1,0,0,1,0,1,1,0
Interaction,Limit who can add you by contact card,Yes,0,0,0,0,0,0,0,1,0,0
Interaction,Limit who can add you from a group chat,Yes,0,0,0,0,0,0,0,1,0,0
Interaction,Control who can send you friend requests,,1,0,1,0,0,Not applicable,0,0,Not applicable,0
Interaction,Limit who can follow you,,1,0,1,0,0,Not applicable,0,Not applicable,Not applicable,0
Interaction,Remove contact/friend/follower,,1,1,1,1,1,Not applicable,1,1,Not applicable,0
Interaction,Limit who can call you,Yes,0,0,Not applicable,Not applicable,0,1,Not applicable,0,0,1
Interaction,Limit who can comment on posts,,1,1,1,1,1,Not applicable,1,0,Not applicable,1
Interaction,Limit who can send voice and video messages,Yes,0,0,0,Not applicable,0,1,Not applicable,0,0,0
